,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
358,ALLO,"Allogene Therapeutics, Inc.",787.97M,-8.15%,458934,95.00K
359,BLFS,"BioLife Solutions, Inc.",784.60M,-0.64%,15222,143.27M
360,HSTM,"HealthStream, Inc.",782.66M,0.33%,13821,279.06M
361,ATRI,Atrion Corporation,767.47M,1.66%,8783,169.33M
362,SLRN,"Acelyrin, Inc.",763.14M,-7.27%,99431,-
363,ZYME,Zymeworks Inc.,762.84M,-2.78%,57318,76.01M
364,EMBC,Embecta Corp.,761.77M,-0.83%,53326,1.12B
365,LAB,Standard BioTools Inc.,760.11M,0.38%,119770,106.34M
366,PHAR,Pharming Group N.V.,757.32M,-1.48%,7727,272.57M
367,FNA,"Paragon 28, Inc.",755.47M,-2.69%,13820,216.39M
368,AUPH,Aurinia Pharmaceuticals Inc.,747.68M,-0.68%,232677,175.51M
369,TRML,"Tourmaline Bio, Inc.",746.59M,-4.24%,8813,-
370,FATE,"Fate Therapeutics, Inc.",743.29M,-5.81%,320518,63.53M
371,NVAX,"Novavax, Inc.",740.35M,-0.76%,593851,983.71M
372,CVAC,CureVac N.V.,738.95M,-0.91%,152781,45.62M
373,AVTE,"Aerovate Therapeutics, Inc.",738.76M,-4.70%,17438,-
374,TMCI,"Treace Medical Concepts, Inc.",733.65M,-1.60%,25728,187.12M
375,COGT,"Cogent Biosciences, Inc.",732.59M,-1.84%,117124,-
376,PRAX,"Praxis Precision Medicines, Inc.",729.96M,0.34%,16372,2.45M
377,FUSN,Fusion Pharmaceuticals Inc.,723.33M,0.10%,295105,2.21M
378,ACCD,"Accolade, Inc.",714.47M,0.43%,39879,388.49M
379,VREX,Varex Imaging Corporation,710.83M,-1.66%,21678,877.80M
380,ABVX,Abivax SA,705.31M,-1.79%,941,-
381,FULC,"Fulcrum Therapeutics, Inc.",703.58M,-8.45%,136215,2.81M
382,LBPH,"Longboard Pharmaceuticals, Inc.",695.85M,0.10%,39977,-
383,PRTC,PureTech Health plc,687.43M,5.19%,497,15.62M
384,CGEM,"Cullinan Oncology, Inc.",686.04M,-2.20%,32324,-
385,ZJYL,Jin Medical International Ltd.,685.68M,-,1444669,19.19M
386,EDIT,"Editas Medicine, Inc.",665.15M,-3.94%,359041,78.12M
387,SIBN,"SI-BONE, Inc.",658.67M,-1.06%,59183,138.89M
388,FLGT,"Fulgent Genetics, Inc.",657.95M,-0.86%,20833,289.21M
389,SVRA,Savara Inc.,650.68M,-2.55%,73212,-
390,MNMD,Mind Medicine (MindMed) Inc.,646.49M,-2.73%,421508,-
391,OLMA,"Olema Pharmaceuticals, Inc.",645.81M,-2.16%,184541,-
392,YMAB,"Y-mAbs Therapeutics, Inc.",643.52M,-3.54%,65556,84.82M
393,LXRX,"Lexicon Pharmaceuticals, Inc.",640.22M,-2.31%,536875,531.00K
394,NRIX,"Nurix Therapeutics, Inc.",639.53M,-0.61%,196421,76.99M
395,APLT,"Applied Therapeutics, Inc.",637.44M,-1.66%,67349,9.99M
396,BMEA,"Biomea Fusion, Inc.",637.35M,-5.77%,222849,-
397,CMPS,COMPASS Pathways plc,635.85M,-1.92%,216980,-
398,CATX,"Perspective Therapeutics, Inc.",627.88M,-5.14%,585070,8.17M
399,ANAB,"AnaptysBio, Inc.",627.59M,-2.24%,43053,17.16M
400,MLYS,"Mineralys Therapeutics, Inc.",627.45M,-0.95%,6885,-
401,IGMS,"IGM Biosciences, Inc.",625.49M,-2.58%,10902,2.13M
402,OPK,"OPKO Health, Inc.",623.67M,-2.15%,1940568,863.50M
403,NNOX,Nano-X Imaging Ltd.,622.36M,-2.09%,1943267,9.64M
404,SILK,"Silk Road Medical, Inc",620.92M,3.79%,106932,177.13M
405,CCCC,"C4 Therapeutics, Inc.",612.60M,-4.59%,518221,20.76M
406,MRSN,"Mersana Therapeutics, Inc.",611.37M,-5.46%,542717,36.86M
407,OABI,"OmniAb, Inc.",608.25M,-1.43%,92280,64.69M
408,AVBP,"ArriVent BioPharma, Inc.",604.30M,-2.85%,18169,-
409,CALT,Calliditas Therapeutics AB (publ),598.44M,-5.08%,5515,105.88M
410,NKTX,"Nkarta, Inc.",596.96M,-9.62%,152375,-
411,CCRN,"Cross Country Healthcare, Inc.",594.85M,2.74%,52278,2.02B
412,KIDS,OrthoPediatrics Corp.,588.50M,-0.44%,26661,148.73M
413,ALEC,"Alector, Inc.",585.99M,-2.94%,78600,97.06M
414,AEON,"AEON Biopharma, Inc.",585.26M,-2.06%,4651,-
415,INNV,InnovAge Holding Corp.,583.01M,6.06%,458,720.80M
416,TVTX,"Travere Therapeutics, Inc.",569.98M,-3.74%,102780,145.24M
417,PLSE,"Pulse Biosciences, Inc.",567.88M,-1.84%,8990,-9.00K
418,GHRS,GH Research PLC,567.11M,0.92%,11508,-
419,ALXO,ALX Oncology Holdings Inc.,566.72M,-3.54%,66546,-
420,IRMD,IRadimed Corporation,560.58M,-0.37%,2932,65.56M
421,LRMR,"Larimar Therapeutics, Inc.",553.72M,-1.61%,106696,-
422,RVNC,"Revance Therapeutics, Inc.",552.86M,-4.62%,385994,234.04M
423,PNTG,"The Pennant Group, Inc.",552.23M,-0.27%,10029,544.89M
424,EHAB,"Enhabit, Inc.",551.93M,-0.64%,40249,1.05B
425,ABSI,Absci Corporation,549.50M,-6.12%,244432,6.94M
426,LYEL,"Lyell Immunopharma, Inc.",548.85M,-4.63%,136389,130.00K
427,VTYX,"Ventyx Biosciences, Inc.",542.28M,-1.10%,172273,-
428,TALK,"Talkspace, Inc.",542.18M,-,147104,150.05M
429,VALN,Valneva SE,535.03M,0.13%,6071,237.46M
430,RDUS,"Radius Health, Inc.",531.79M,-3.03%,10064,2.96B
431,ALT,"Altimmune, Inc.",529.77M,-4.72%,1158636,279.00K
432,CDNA,"CareDx, Inc",525.03M,-2.47%,70522,280.32M
433,DNTH,"Dianthus Therapeutics, Inc.",524.21M,-0.34%,5771,924.00K
434,ANNX,"Annexon, Inc.",523.65M,-0.45%,536880,-
435,REPL,"Replimune Group, Inc.",523.64M,-1.99%,224580,-
436,PIII,P3 Health Partners Inc.,521.75M,1.96%,136806,1.18B
437,SIGA,"SIGA Technologies, Inc.",521.10M,-0.68%,521234,139.92M
438,CSTL,"Castle Biosciences, Inc.",517.43M,0.05%,12476,219.79M
439,OFIX,Orthofix Medical Inc.,513.97M,-1.35%,16170,746.64M
440,MRNS,"Marinus Pharmaceuticals, Inc.",513.09M,-3.73%,42336,30.99M
441,BTMD,biote Corp.,504.94M,-1.30%,60157,185.36M
442,VYGR,"Voyager Therapeutics, Inc.",503.91M,-,107104,250.01M
443,KALV,"KalVista Pharmaceuticals, Inc.",503.31M,1.13%,42377,-
444,PAHC,Phibro Animal Health Corporation,499.81M,-0.16%,8483,982.01M
445,NVRO,Nevro Corp.,499.74M,-0.51%,15288,425.17M
446,PEPG,PepGen Inc.,499.55M,-3.08%,14219,-
447,NUVB,Nuvation Bio Inc.,499.42M,-0.44%,119718,-
448,PHAT,"Phathom Pharmaceuticals, Inc.",496.47M,-2.12%,53623,682.00K
449,ELVN,"Enliven Therapeutics, Inc.",494.93M,0.92%,4946,-
450,SLDB,Solid Biosciences Inc.,493.86M,-0.84%,61368,-
451,URGN,UroGen Pharma Ltd.,493.41M,-3.46%,62985,82.71M
452,OSUR,"OraSure Technologies, Inc.",490.75M,2.03%,122323,405.47M
453,NYXH,Nyxoah S.A.,486.49M,8.70%,27066,4.83M
454,CRBU,"Caribou Biosciences, Inc.",484.99M,-2.14%,394337,34.48M
455,AVAH,Aveanna Healthcare Holdings Inc.,476.14M,-4.85%,15306,1.90B
456,ABUS,Arbutus Biopharma Corporation,470.27M,-1.53%,159070,18.14M
457,ADPT,Adaptive Biotechnologies Corporation,470.10M,-3.70%,284263,170.28M
458,TERN,"Terns Pharmaceuticals, Inc.",465.49M,-9.24%,215344,-
459,MPLN,MultiPlan Corporation,465.26M,-1.34%,278246,961.52M
460,PETQ,"PetIQ, Inc.",464.43M,-0.89%,23236,1.10B
461,HRTX,"Heron Therapeutics, Inc.",460.01M,-1.96%,623615,127.04M
462,CRBP,"Corbus Pharmaceuticals Holdings, Inc.",458.34M,-8.29%,68789,-
463,HCAT,"Health Catalyst, Inc.",457.96M,-0.77%,61599,295.94M
464,RENB,Renovaro Biosciences Inc.,455.43M,-9.46%,43975,-
465,MXCT,"MaxCyte, Inc.",448.80M,-3.71%,69974,41.29M
466,CELC,Celcuity Inc.,447.97M,-0.82%,213904,-
467,AQST,"Aquestive Therapeutics, Inc.",446.40M,-2.30%,946444,50.58M
468,ZIMV,ZimVie Inc.,446.07M,-1.00%,61532,457.43M
469,MREO,Mereo BioPharma Group plc,436.16M,-1.45%,170763,9.02M
470,CVRX,"CVRx, Inc.",435.71M,-0.67%,5468,39.30M
471,CBUS,"Cibus, Inc.",435.44M,1.33%,10384,756.00K
472,TSHA,"Taysha Gene Therapies, Inc.",430.01M,-8.04%,256812,14.35M
473,TRDA,"Entrada Therapeutics, Inc.",429.42M,-2.82%,3153,129.01M
474,IVVD,"Invivyd, Inc.",427.85M,-5.28%,40713,-
475,RCEL,"AVITA Medical, Inc.",422.36M,-1.16%,15461,51.57M
476,AVXL,Anavex Life Sciences Corp.,419.59M,-1.17%,343154,-
477,TBPH,"Theravance Biopharma, Inc.",416.14M,0.69%,24476,57.42M
478,MODV,ModivCare Inc.,414.87M,-0.92%,33256,2.76B
479,OCS,Oculis Holding AG,414.27M,-,672,-
480,ANRO,"Alto Neuroscience, Inc.",413.76M,-3.86%,28239,-
481,STTK,"Shattuck Labs, Inc.",413.51M,-1.66%,58864,1.66M
482,LXEO,"Lexeo Therapeutics, Inc.",410.34M,-5.97%,19139,-
483,NGNE,Neurogene Inc.,406.51M,-0.45%,11839,-
484,LFMD,"LifeMD, Inc.",405.85M,2.18%,142322,152.55M
485,MGTX,MeiraGTx Holdings plc,403.87M,2.99%,79792,-
486,ZYXI,"Zynex, Inc.",403.74M,0.20%,12739,184.32M
487,SRDX,"Surmodics, Inc.",401.03M,-1.42%,4355,138.20M
488,EPIX,ESSA Pharma Inc.,398.14M,-0.06%,5407,-
489,CDMO,"Avid Bioservices, Inc.",397.77M,2.54%,106507,140.94M
490,TCMD,"Tactile Systems Technology, Inc.",395.31M,-1.79%,17829,274.42M
491,CLOV,"Clover Health Investments, Corp.",388.90M,2.92%,1849629,2.03B
492,ANL,Adlai Nortye Ltd.,387.83M,12.00%,690,-
493,ITOS,"iTeos Therapeutics, Inc.",387.46M,-3.33%,10852,12.60M
494,MGX,"Metagenomi, Inc.",386.54M,1.18%,1908,17.20M
495,TNYA,"Tenaya Therapeutics, Inc.",383.07M,-2.41%,148589,-
496,ESPR,"Esperion Therapeutics, Inc.",383.06M,-2.17%,441820,116.33M
497,DCGO,DocGo Inc.,381.27M,0.14%,145810,624.29M
498,CYH,"Community Health Systems, Inc.",380.13M,0.90%,153794,12.49B
499,HUMA,"Humacyte, Inc.",379.00M,4.01%,462040,-
500,JSPR,"Jasper Therapeutics, Inc.",377.80M,-1.99%,40384,-
501,THRD,"Third Harmonic Bio, Inc.",377.39M,-0.70%,4735,-
502,ORGO,Organogenesis Holdings Inc.,376.09M,-2.28%,38605,433.14M
503,KRRO,"Korro Bio, Inc.",374.13M,-0.88%,1617,-
504,NPCE,"NeuroPace, Inc.",373.58M,0.23%,3431,65.42M
505,ANIK,"Anika Therapeutics, Inc.",372.46M,-0.65%,12775,166.66M
506,VMD,"Viemed Healthcare, Inc.",372.06M,2.08%,29582,183.01M
507,HROW,"Harrow Health, Inc.",368.38M,-0.67%,74813,114.17M
508,SNDL,SNDL Inc.,365.82M,3.93%,2456876,685.16M
509,ADAP,Adaptimmune Therapeutics plc,365.30M,-3.38%,403024,60.28M
510,INZY,"Inozyme Pharma, Inc.",363.84M,-,47247,-
511,PGEN,"Precigen, Inc.",355.95M,0.70%,249291,6.76M
512,AURA,"Aura Biosciences, Inc.",354.67M,0.14%,36618,-
513,PROC,Procaps Group S.A.,354.27M,4.81%,257,414.10M
514,ADVM,"Adverum Biotechnologies, Inc.",352.18M,0.29%,93984,3.60M
515,ACIU,AC Immune SA,347.19M,-0.86%,29366,17.62M
516,CERS,Cerus Corporation,346.25M,-1.57%,464090,186.80M
517,BVS,Bioventus Inc.,345.41M,-0.55%,18577,512.35M
518,LUNG,Pulmonx Corporation,344.91M,-2.01%,13877,68.68M
519,SHCR,"Sharecare, Inc.",344.85M,-1.04%,35690,239.56M
520,AMRN,Amarin Corporation plc,344.72M,-0.99%,151307,306.91M
521,SPOK,"Spok Holdings, Inc.",343.73M,-0.53%,57396,139.03M
522,TCRX,"TScan Therapeutics, Inc.",340.92M,-1.83%,15756,21.05M
523,AVIR,"Atea Pharmaceuticals, Inc.",337.50M,-2.37%,52774,-
524,AXGN,"AxoGen, Inc.",331.82M,-1.43%,10770,159.01M
525,AIRS,"AirSculpt Technologies, Inc.",330.18M,-0.35%,10752,195.92M
526,GOSS,"Gossamer Bio, Inc.",329.35M,-9.59%,391902,-
527,NBTX,Nanobiotix S.A.,327.42M,-9.64%,10529,7.41M
528,KMDA,Kamada Ltd.,325.64M,3.93%,11441,142.52M
529,IPSC,"Century Therapeutics, Inc.",324.09M,-1.10%,21821,2.24M
530,ERAS,"Erasca, Inc.",323.33M,-2.57%,55505,-
531,GLUE,"Monte Rosa Therapeutics, Inc.",321.49M,2.81%,18661,-
532,AKBA,"Akebia Therapeutics, Inc.",320.26M,1.18%,1082362,194.62M
533,NAUT,"Nautilus Biotechnology, Inc.",320.25M,0.39%,21812,-
534,SMTI,Sanara MedTech Inc.,315.92M,0.29%,3345,62.62M
535,XERS,"Xeris Biopharma Holdings, Inc.",313.21M,-4.26%,383105,163.91M
536,WGS,GeneDx Holdings Corp.,312.90M,-10.99%,73866,202.57M
537,ADCT,ADC Therapeutics SA,311.96M,-0.53%,67829,69.56M
538,LYRA,"Lyra Therapeutics, Inc.",311.70M,-4.22%,19136,1.42M
539,FBLG,"FibroBiologics, Inc.",311.66M,-5.33%,15509,-
540,PSTX,"Poseida Therapeutics, Inc.",310.69M,-4.66%,53987,64.70M
541,SENS,"Senseonics Holdings, Inc.",307.79M,-1.86%,191609,22.39M
542,KOD,Kodiak Sciences Inc.,307.49M,-3.75%,51391,-
543,XOMA,XOMA Corporation,305.99M,0.30%,1969,4.76M
544,SNDA,"Sonida Senior Living, Inc.",301.59M,-1.01%,6913,249.13M
545,ENTA,"Enanta Pharmaceuticals, Inc.",300.63M,-2.89%,10399,73.62M
546,RAPT,"RAPT Therapeutics, Inc.",294.74M,-3.01%,37672,-
547,ATAI,Atai Life Sciences N.V.,293.84M,-7.63%,640298,334.00K
548,GUTS,"Fractyl Health, Inc.",292.31M,-3.46%,102195,-
549,CMPX,"Compass Therapeutics, Inc.",291.94M,-2.18%,72620,-
550,SOPH,SOPHiA GENETICS SA,291.24M,-3.36%,3325,62.37M
551,SERA,"Sera Prognostics, Inc.",290.18M,-2.38%,3027,330.00K
552,IMMP,Immutep Limited,289.11M,-0.42%,11943,4.58M
553,OPT,Opthea Limited,285.84M,-,1028,385.28K
554,STOK,"Stoke Therapeutics, Inc.",285.34M,-4.23%,26789,9.25M
555,CGC,Canopy Growth Corporation,280.63M,13.15%,5615917,248.53M
556,VSTM,"Verastem, Inc.",277.95M,-2.91%,17647,-
557,OCGN,"Ocugen, Inc.",277.02M,7.87%,3930748,-
558,EDAP,EDAP TMS S.A.,276.96M,-,2000,60.13M
559,BLUE,"bluebird bio, Inc.",273.69M,0.70%,1668746,21.73M
560,FENC,Fennec Pharmaceuticals Inc.,265.49M,7.24%,189963,13.05M
561,HOWL,"Werewolf Therapeutics, Inc.",262.41M,-1.55%,16706,19.94M
562,PRLD,Prelude Therapeutics Incorporated,260.32M,-0.42%,4007,-
563,ARAY,Accuray Incorporated,258.83M,-0.38%,47680,447.48M
564,AMWL,American Well Corporation,257.52M,-4.02%,113080,259.05M
565,TLSI,"TriSalus Life Sciences, Inc.",257.00M,1.95%,633,25.19M
566,FHTX,Foghorn Therapeutics Inc.,251.56M,-0.51%,13271,34.16M
567,UTMD,"Utah Medical Products, Inc.",251.42M,0.40%,3873,51.47M
568,INO,"Inovio Pharmaceuticals, Inc.",250.88M,-4.42%,112512,832.01K
569,STRO,"Sutro Biopharma, Inc.",250.52M,-3.41%,65713,48.64M
570,BDTX,"Black Diamond Therapeutics, Inc.",247.73M,-0.63%,79646,-
571,QURE,uniQure N.V.,247.32M,-2.32%,216277,15.84M
572,CHRS,"Coherus BioSciences, Inc.",247.23M,-2.70%,722205,257.24M
573,MESO,Mesoblast Limited,246.60M,-5.35%,60352,7.25M
574,QSI,Quantum-Si incorporated,245.26M,2.60%,275871,1.08M
575,CGEN,Compugen Ltd.,244.42M,-1.10%,90232,33.46M
576,LCTX,"Lineage Cell Therapeutics, Inc.",243.21M,-8.53%,177052,8.95M
577,ABOS,"Acumen Pharmaceuticals, Inc.",242.07M,-3.47%,48135,-
578,AKYA,"Akoya Biosciences, Inc.",241.28M,-1.63%,9373,96.63M
579,PBYI,"Puma Biotechnology, Inc.",241.04M,-1.50%,207027,235.64M
580,RIGL,"Rigel Pharmaceuticals, Inc.",238.51M,-0.37%,117755,116.88M
581,NOTV,"Inotiv, Inc.",235.47M,-1.10%,167113,585.17M
582,ZVRA,"Zevra Therapeutics, Inc.",235.11M,-1.83%,60226,16.56M
583,CDXS,"Codexis, Inc.",234.11M,-7.21%,175811,70.14M
584,GRTS,"Gritstone bio, Inc.",233.40M,-,296061,16.34M
585,OPRX,OptimizeRx Corporation,230.36M,-2.84%,12318,62.81M
586,OMER,Omeros Corporation,229.46M,-5.07%,136890,-
587,PYXS,"Pyxis Oncology, Inc.",226.93M,0.10%,55959,-
588,AGEN,Agenus Inc.,226.22M,-5.81%,3065653,156.31M
589,GLSI,"Greenwich LifeSciences, Inc.",224.84M,-0.93%,2386,-
590,CRDF,"Cardiff Oncology, Inc.",224.73M,-12.52%,775367,488.00K
591,RPTX,Repare Therapeutics Inc.,223.14M,-2.31%,9017,51.13M
592,BFLY,"Butterfly Network, Inc.",222.70M,-0.93%,132275,65.90M
593,SGHT,"Sight Sciences, Inc.",222.49M,-0.33%,2451,81.06M
594,MASS,908 Devices Inc.,221.15M,-1.71%,37732,50.23M
595,ALIM,"Alimera Sciences, Inc.",220.41M,0.48%,17163,80.75M
596,AMLX,"Amylyx Pharmaceuticals, Inc.",219.61M,-12.50%,1708692,380.79M
597,VNDA,Vanda Pharmaceuticals Inc.,219.22M,-1.71%,155827,192.64M
598,LFCR,"Lifecore Biomedical, Inc.",217.81M,-0.07%,12182,157.39M
599,IVA,Inventiva S.A.,216.92M,1.43%,21527,24.22M
600,ME,23andMe Holding Co.,214.32M,0.38%,1390201,247.99M
601,ANGO,"AngioDynamics, Inc.",214.02M,-1.68%,40588,329.54M
602,MACK,"Merrimack Pharmaceuticals, Inc.",213.97M,-0.10%,26858,-
603,TRVI,"Trevi Therapeutics, Inc.",213.92M,-4.93%,25443,-
604,ABEO,Abeona Therapeutics Inc.,213.79M,-14.83%,452129,3.57M
605,ELEV,"Elevation Oncology, Inc.",213.58M,-2.85%,57788,-
606,SMLR,"Semler Scientific, Inc.",213.46M,0.36%,18871,68.18M
607,OPTN,"OptiNose, Inc.",211.79M,11.23%,2227470,70.99M
608,PROF,Profound Medical Corp.,211.26M,1.06%,2008,5.41M
609,SCPH,scPharmaceuticals Inc.,210.20M,-2.23%,17046,13.59M
610,CRMD,CorMedix Inc.,209.48M,-2.10%,110047,-
611,PRQR,ProQR Therapeutics N.V.,208.27M,-2.34%,73584,10.58M
612,FGEN,"FibroGen, Inc.",206.43M,-2.39%,476245,147.75M
613,TSVT,"2seventy bio, Inc.",205.75M,21.00%,2737750,100.39M
614,GBIO,Generation Bio Co.,205.41M,-0.49%,18781,5.90M
615,CDT,Conduit Pharmaceuticals Inc.,205.25M,-1.42%,5439,-
616,IPHA,Innate Pharma S.A.,204.13M,3.48%,509,57.45M
617,STXS,"Stereotaxis, Inc.",203.68M,-2.02%,31953,26.77M
618,VRCA,Verrica Pharmaceuticals Inc.,203.61M,-3.12%,10777,5.12M
619,CAPR,"Capricor Therapeutics, Inc.",200.64M,1.88%,94206,25.18M
620,OMGA,"Omega Therapeutics, Inc.",199.61M,-2.76%,69029,2.84M
621,INMB,"INmune Bio, Inc.",199.32M,1.99%,6327,224.00K
622,DRTS,Alpha Tau Medical Ltd.,198.58M,1.61%,2796,-
623,INFU,"InfuSystem Holdings, Inc.",196.71M,-3.99%,5729,122.84M
624,ASPI,ASP Isotopes Inc.,196.56M,-,82779,-
625,NVCT,"Nuvectis Pharma, Inc.",195.46M,5.45%,41432,-
626,OGI,OrganiGram Holdings Inc.,194.78M,3.38%,432463,-
627,GRPH,"Graphite Bio, Inc.",194.51M,-3.29%,106840,-
628,CLPT,"ClearPoint Neuro, Inc.",192.88M,-0.35%,10879,23.96M
629,OVID,Ovid Therapeutics Inc.,192.33M,-0.74%,11645,391.70K
630,CYBN,Cybin Inc.,188.99M,-7.50%,2938570,-
631,JYNT,The Joint Corp.,188.40M,-3.61%,4449,117.70M
632,ATNM,"Actinium Pharmaceuticals, Inc.",187.41M,-3.56%,109752,-
633,CLLS,Cellectis S.A.,186.88M,0.79%,846,24.41M
634,TELO,"Telomir Pharmaceuticals, Inc.",185.34M,2.97%,2426,-
635,OBIO,"Orchestra BioMed Holdings, Inc.",184.44M,3.68%,4246,3.60M
636,CDXC,ChromaDex Corporation,180.74M,13.33%,265184,83.57M
637,XBIT,XBiotech Inc.,179.88M,1.02%,7757,-
638,HBIO,"Harvard Bioscience, Inc.",175.77M,0.12%,295051,112.25M
639,GNFT,Genfit S.A.,175.48M,1.73%,125,32.69M
640,ACB,Aurora Cannabis Inc.,174.82M,15.72%,2388354,200.73M
641,QIPT,Quipt Home Medical Corp.,173.88M,0.36%,7296,185.18M
642,KPTI,Karyopharm Therapeutics Inc.,173.75M,0.66%,304043,146.03M
643,RANI,"Rani Therapeutics Holdings, Inc.",170.20M,-6.06%,25768,-
644,GNLX,Genelux Corporation,167.25M,-3.19%,18143,238.00K
645,VXRT,"Vaxart, Inc.",165.68M,1.85%,275503,7.38M
646,GLYC,"GlycoMimetics, Inc.",164.85M,1.17%,24809,-
647,ALDX,"Aldeyra Therapeutics, Inc.",164.32M,-,111313,-
648,ACET,"Adicet Bio, Inc.",164.10M,-1.75%,258956,-
649,RLMD,"Relmada Therapeutics, Inc.",163.14M,2.95%,15702,-
650,GTHX,"G1 Therapeutics, Inc.",162.34M,-2.09%,143514,82.51M
651,ATOS,"Atossa Therapeutics, Inc.",161.64M,-1.16%,210539,-
652,INGN,"Inogen, Inc.",160.95M,-1.74%,169817,315.66M
653,NKTR,Nektar Therapeutics,157.95M,-1.52%,107167,90.12M
654,ACHV,"Achieve Life Sciences, Inc.",157.22M,0.76%,17240,-
655,SYRS,"Syros Pharmaceuticals, Inc.",156.30M,0.33%,17636,8.80M
656,AUGX,"Augmedix, Inc.",155.38M,0.63%,77555,40.93M
657,XFOR,"X4 Pharmaceuticals, Inc.",155.18M,-2.44%,272969,-
658,IMAB,I-Mab,153.68M,-1.08%,146280,3.90M
659,ALUR,Allurion Technologies Inc.,153.33M,-2.44%,7432,109.44M
660,PDSB,PDS Biotechnology Corporation,152.43M,-4.18%,105904,-
661,DBVT,DBV Technologies S.A.,152.01M,2.16%,18809,15.73M
662,XTNT,"Xtant Medical Holdings, Inc.",150.93M,-4.31%,26693,78.46M
663,ELMD,"Electromed, Inc.",150.76M,-2.00%,6991,51.69M
664,MDWD,MediWound Ltd.,147.51M,-,2415,24.97M
665,COYA,"Coya Therapeutics, Inc.",145.93M,-0.79%,41694,-
666,SCLX,Scilex Holding Company,145.39M,-2.92%,189212,46.74M
667,DSGN,"Design Therapeutics, Inc.",144.49M,-4.65%,24810,-
668,HITI,High Tide Inc.,142.97M,-2.20%,201120,497.66M
669,BDSX,"Biodesix, Inc.",142.50M,0.68%,12196,49.09M
670,FONR,FONAR Corporation,141.32M,-0.37%,1008,102.42M
671,OCEA,"Ocean Biomedical, Inc.",140.44M,-1.46%,100782,-
672,CTMX,"CytomX Therapeutics, Inc.",140.18M,-5.31%,352481,101.21M
673,SGMO,"Sangamo Therapeutics, Inc.",139.55M,5.10%,557674,176.23M
674,ZURA,Zura Bio Limited,137.47M,-2.19%,8400,-
675,ACRV,"Acrivon Therapeutics, Inc.",137.38M,2.10%,7004,-
676,YS,"YS Biopharma Co., Ltd.",136.16M,2.52%,59051,560.76M
677,TBRG,TruBridge Inc.,133.71M,-0.30%,9104,339.44M
678,NGM,"NGM Biopharmaceuticals, Inc.",131.04M,-0.32%,22389,-
679,VOR,Vor Biopharma Inc.,130.86M,-,62651,-
680,TELA,"TELA Bio, Inc.",130.53M,-0.38%,2962,53.08M
681,ARMP,"Armata Pharmaceuticals, Inc.",130.13M,5.00%,6774,4.05M
682,MOLN,Molecular Partners AG,130.10M,-1.00%,369,8.38M
683,ZOM,Zomedica Corp.,129.75M,-1.66%,675452,24.01M
684,SGMT,Sagimet Biosciences Inc.,128.86M,-3.71%,163721,2.00M
685,SEER,"Seer, Inc.",128.25M,-4.55%,48362,16.66M
686,EBS,Emergent BioSolutions Inc.,127.90M,-2.45%,499751,1.05B
687,CLSD,"Clearside Biomedical, Inc.",127.77M,-3.51%,412111,8.23M
688,YI,"111, Inc.",127.67M,1.97%,17637,2.06B
689,GALT,Galectin Therapeutics Inc.,127.41M,-0.49%,14395,-
690,ZTEK,Zentek Ltd.,127.33M,-1.59%,9180,25.27K
691,ADAG,Adagene Inc.,125.51M,0.54%,701,22.67M
692,TOI,"The Oncology Institute, Inc.",123.90M,5.95%,5969,309.88M
693,CELU,Celularity Inc.,123.73M,2.11%,9131,14.79M
694,GTH,Genetron Holdings Limited,123.34M,-,16104,93.36M
695,KNTE,Kinnate Biopharma Inc.,120.75M,-0.35%,17603,-
696,VIGL,"Vigil Neuroscience, Inc.",120.19M,-1.04%,3114,-
697,VINC,"Vincerx Pharma, Inc.",119.30M,-12.54%,169494,-
698,MCRB,"Seres Therapeutics, Inc.",118.65M,-2.20%,815325,126.33M
699,ORMP,Oramed Pharmaceuticals Inc.,118.32M,-2.40%,31997,1.34M
700,IMUX,"Immunic, Inc.",117.81M,-3.44%,46037,-
701,ANIX,"Anixa Biosciences, Inc.",117.71M,-1.90%,35297,210.00K
702,CTXR,"Citius Pharmaceuticals, Inc.",117.16M,1.10%,331234,-
703,LIFE,"aTyr Pharma, Inc.",117.12M,0.25%,222175,353.00K
704,BCAB,"BioAtla, Inc.",116.96M,-4.92%,90425,-
705,TKNO,"Alpha Teknova, Inc.",116.26M,2.81%,328,36.71M
706,STIM,"Neuronetics, Inc.",116.05M,0.26%,15333,71.35M
707,SCTL,"Societal CDMO, Inc.",115.07M,-0.73%,163004,91.20M
708,DMAC,DiaMedica Therapeutics Inc.,115.00M,-5.28%,11647,-
709,BYSI,BeyondSpring Inc.,114.71M,1.19%,80630,1.55M
710,ALLK,Allakos Inc.,114.59M,-6.49%,111575,-
711,SHOT,Safety Shot Inc,112.72M,7.50%,735877,4.40M
712,FORA,Forian Inc.,111.20M,2.51%,1973,23.02M
713,OM,"Outset Medical, Inc.",109.60M,-5.99%,73822,130.38M
714,VTGN,"VistaGen Therapeutics, Inc.",109.45M,5.68%,65487,1.04M
715,CYT,"Cyteir Therapeutics, Inc.",108.71M,-,1006884,-
716,IOBT,"IO Biotech, Inc.",108.70M,2.42%,10919,-
717,CVM,CEL-SCI Corporation,108.50M,1.49%,63157,-
718,VANI,"Vivani Medical, Inc.",108.31M,-4.31%,101186,-
719,OTLK,"Outlook Therapeutics, Inc.",107.23M,-1.03%,135852,-
